SenIP,SenR,SenDFL,SenIPFirst,SenRFirst,SenDFLFirst
44,870,1280,4,8,1
21,346,560,2,3,5
6,42,136,6,4,1
4,84,117,4,8,1
4,7,30,4,7,3
6,243,110,6,2,1
9,274,108,9,2,1
33,824,601,3,8,6
17,760,582,1,7,5
20,719,707,2,7,7
10,621,411,1,6,4
22,838,609,2,8,6
17,1065,645,1,1,6
28,984,677,2,9,6
17,992,516,1,9,5
38,978,879,3,9,8
34,1392,877,3,1,8
45,958,799,4,9,7
41,956,874,4,9,8
23,305,235,2,3,2
11,324,211,1,3,2
1,8,6,1,8,6
6,119,59,6,1,5
8,91,53,8,9,5
15,295,143,1,2,1
10,521,295,1,5,2
8,429,220,8,4,2
4,72,47,4,7,4
35,690,435,3,6,4
11,222,172,1,2,1
7,492,212,7,4,2
20,757,496,2,7,4
18,931,418,1,9,4
48,1263,919,4,1,9
58,1329,1056,5,1,1
15,374,204,1,3,2
39,894,563,3,8,5
5,379,202,5,3,2
11,224,83,1,2,8
2,20,13,2,2,1
7,25,41,7,2,4
8,112,72,8,1,7
4,87,60,4,8,6
2,3,21,2,3,2
2,21,20,2,2,2
14,169,141,1,1,1
2,12,14,2,1,1
3,33,41,3,3,4
2,0,4,2,0,4
1,14,15,1,1,1
2,29,17,2,2,1
3,44,19,3,4,1
5,28,20,5,2,2
3,32,119,3,3,1
1,25,31,1,2,3
5,127,153,5,1,1
3,31,27,3,3,2
17,359,187,1,3,1
9,269,138,9,2,1
1,15,21,1,1,2
4,34,46,4,3,4
7,52,70,7,5,7
1,17,4,1,1,4
4,93,98,4,9,9
3,59,33,3,5,3
6,32,50,6,3,5
8,141,120,8,1,1
17,388,211,1,3,2
2,132,76,2,1,7
0,15,18,0,1,1
2,38,31,2,3,3
5,132,94,5,1,9
2,26,17,2,2,1
4,80,53,4,8,5
12,243,111,1,2,1
1,40,20,1,4,2
3,35,19,3,3,1
0,3,0,0,3,0
2,20,18,2,2,1
10,91,277,1,9,2
9,86,62,9,8,6
0,60,67,0,6,6
10,133,125,1,1,1
21,229,148,2,2,1
14,155,139,1,1,1
3,20,12,3,2,1
11,163,193,1,1,1
8,54,54,8,5,5
6,32,35,6,3,3
0,0,0,0,0,0
1,30,26,1,3,2
2,32,10,2,3,1
0,0,0,0,0,0
20,398,353,2,3,3
0,7,27,0,7,2
2,45,43,2,4,4
1,22,13,1,2,1
0,2,3,0,2,3
38,508,451,3,5,4
4,87,56,4,8,5
2,35,35,2,3,3
2,49,37,2,4,3
11,156,136,1,1,1
1,147,128,1,1,1
2,43,23,2,4,2
7,67,58,7,6,5
10,170,240,1,1,2
6,43,86,6,4,8
1,5,14,1,5,1
14,113,64,1,1,6
0,37,40,0,3,4
